time,station,latitude,longitude,pm10,pm2_5,nitrogen_dioxide,ozone,sulphur_dioxide,carbon_monoxide,european_aqi,temperature_2m,precipitation
2026-05-03 00:00:00,Burgos,42.3439,-3.6969,4.8,3.3,3.0,62.0,0.3,112.0,25,11.7,0.0
2026-05-03 01:00:00,Burgos,42.3439,-3.6969,5.1,3.3,3.0,59.0,0.3,111.0,24,11.7,0.0
2026-05-03 02:00:00,Burgos,42.3439,-3.6969,4.5,3.4,3.0,56.0,0.2,108.0,22,11.5,0.0
2026-05-03 03:00:00,Burgos,42.3439,-3.6969,4.5,3.4,3.0,56.0,0.2,108.0,22,11.0,0.0
2026-05-03 04:00:00,Burgos,42.3439,-3.6969,4.3,3.5,2.5,54.0,0.3,108.0,22,10.2,0.0
2026-05-03 05:00:00,Burgos,42.3439,-3.6969,4.6,3.3,2.4,52.0,0.3,108.0,21,9.8,0.0
2026-05-03 06:00:00,Burgos,42.3439,-3.6969,4.2,3.3,2.3,49.0,0.3,108.0,20,9.9,0.0
2026-05-03 07:00:00,Burgos,42.3439,-3.6969,4.2,3.2,2.7,47.0,0.3,108.0,19,9.4,0.1
2026-05-03 08:00:00,Burgos,42.3439,-3.6969,4.5,3.3,2.7,49.0,0.3,110.0,20,9.7,0.0
2026-05-03 09:00:00,Burgos,42.3439,-3.6969,4.5,3.5,2.0,57.0,0.3,108.0,23,11.1,0.0
2026-05-03 10:00:00,Burgos,42.3439,-3.6969,4.2,3.0,1.5,62.0,0.3,107.0,25,12.3,0.0
2026-05-03 11:00:00,Burgos,42.3439,-3.6969,4.1,3.1,1.1,62.0,0.3,105.0,25,13.2,0.0
2026-05-03 12:00:00,Burgos,42.3439,-3.6969,4.1,2.7,0.9,63.0,0.3,106.0,25,14.2,0.1
2026-05-03 13:00:00,Burgos,42.3439,-3.6969,3.5,2.2,0.8,67.0,0.2,106.0,27,15.6,0.0
2026-05-03 14:00:00,Burgos,42.3439,-3.6969,3.0,1.9,0.7,70.0,0.3,107.0,28,15.9,0.0
2026-05-03 15:00:00,Burgos,42.3439,-3.6969,3.5,2.1,0.6,76.0,0.3,108.0,30,13.8,0.4
2026-05-03 16:00:00,Burgos,42.3439,-3.6969,3.7,2.1,0.5,79.0,0.3,107.0,32,14.9,0.0
2026-05-03 17:00:00,Burgos,42.3439,-3.6969,3.5,2.1,0.5,81.0,0.2,107.0,32,16.0,0.0
2026-05-03 18:00:00,Burgos,42.3439,-3.6969,3.5,2.1,0.6,82.0,0.2,108.0,33,13.4,5.5
2026-05-03 19:00:00,Burgos,42.3439,-3.6969,3.2,2.0,0.9,81.0,0.3,109.0,32,14.4,0.1
2026-05-03 20:00:00,Burgos,42.3439,-3.6969,2.9,1.8,1.7,79.0,0.4,111.0,32,14.6,0.0
2026-05-03 21:00:00,Burgos,42.3439,-3.6969,3.6,2.4,2.8,75.0,0.3,114.0,30,13.5,0.05
2026-05-03 22:00:00,Burgos,42.3439,-3.6969,3.6,2.6,3.5,69.0,0.4,115.0,28,12.6,0.0
2026-05-03 23:00:00,Burgos,42.3439,-3.6969,3.5,2.3,3.8,58.0,0.3,113.0,23,12.0,0.0
2026-05-04 00:00:00,Burgos,42.3439,-3.6969,3.5,3.0,2.7,54.0,0.2,112.0,22,10.3,0.0
2026-05-04 01:00:00,Burgos,42.3439,-3.6969,3.3,2.8,2.7,50.0,0.2,113.0,20,10.1,0.0
2026-05-04 02:00:00,Burgos,42.3439,-3.6969,3.2,2.5,2.9,47.0,0.2,116.0,19,10.3,0.0
2026-05-04 03:00:00,Burgos,42.3439,-3.6969,3.3,2.3,2.9,44.0,0.2,116.0,18,10.2,0.0
2026-05-04 04:00:00,Burgos,42.3439,-3.6969,3.1,2.3,3.2,42.0,0.2,116.0,17,10.1,0.0
2026-05-04 05:00:00,Burgos,42.3439,-3.6969,3.0,2.4,3.4,41.0,0.1,116.0,16,9.5,0.0
2026-05-04 06:00:00,Burgos,42.3439,-3.6969,3.1,2.3,4.4,44.0,0.3,116.0,18,9.0,0.0
2026-05-04 07:00:00,Burgos,42.3439,-3.6969,3.5,2.6,5.2,41.0,0.3,117.0,16,8.8,0.0
2026-05-04 08:00:00,Burgos,42.3439,-3.6969,3.7,2.8,7.7,37.0,0.4,118.0,15,9.1,0.0
2026-05-04 09:00:00,Burgos,42.3439,-3.6969,3.9,3.3,6.7,40.0,0.4,118.0,16,9.5,0.0
2026-05-04 10:00:00,Burgos,42.3439,-3.6969,3.6,3.0,7.7,47.0,0.5,119.0,19,10.5,0.0
2026-05-04 11:00:00,Burgos,42.3439,-3.6969,3.7,2.5,4.9,53.0,0.5,119.0,21,11.4,0.0
2026-05-04 12:00:00,Burgos,42.3439,-3.6969,3.6,2.3,4.1,58.0,0.4,117.0,23,11.9,0.9
2026-05-04 13:00:00,Burgos,42.3439,-3.6969,2.6,2.0,2.5,62.0,0.4,115.0,25,12.4,0.5
2026-05-04 14:00:00,Burgos,42.3439,-3.6969,2.3,1.7,1.9,71.0,0.4,112.0,28,13.5,0.2
2026-05-04 15:00:00,Burgos,42.3439,-3.6969,2.0,1.6,1.3,75.0,0.3,110.0,30,11.0,0.9
2026-05-04 16:00:00,Burgos,42.3439,-3.6969,1.8,1.3,1.3,78.0,0.3,110.0,31,11.5,1.8
