station_id,station_name,datetime,temperature,humidity,pressure,wind_speed,wind_direction,latitude,longitude,altitude
9501X,VALMADRID,2026-04-20 02:00:00+00:00,11.8,81.0,,3.0,159.0,41.443134,-0.885947,535.0
4067,MADRIDEJOS,2026-04-20 02:00:00+00:00,14.3,55.0,935.5,1.4,128.0,39.492064,-3.528358,690.0
3129A,MADRID BARAJAS RS.,2026-04-20 02:00:00+00:00,13.6,60.0,942.3,0.7,172.0,40.465278,-3.579722,631.0
3194U,MADRID  C. UNIVERSITARIA,2026-04-20 02:00:00+00:00,15.1,54.0,,1.2,141.0,40.451671,-3.724167,664.0
3195,MADRID RETIRO,2026-04-20 02:00:00+00:00,15.8,57.0,937.5,0.7,214.0,40.411806,-3.678095,667.0
3129,MADRID/BARAJAS,2026-04-20 02:00:00+00:00,12.1,66.0,947.8,1.4,80.0,40.466559,-3.555593,609.0
9501X,VALMADRID,2026-04-20 03:00:00+00:00,12.3,78.0,,1.3,179.0,41.443134,-0.885947,535.0
4067,MADRIDEJOS,2026-04-20 03:00:00+00:00,14.1,57.0,935.1,2.0,111.0,39.492064,-3.528358,690.0
3129,MADRID/BARAJAS,2026-04-20 03:00:00+00:00,11.2,69.0,947.6,2.2,340.0,40.466559,-3.555593,609.0
3129A,MADRID BARAJAS RS.,2026-04-20 03:00:00+00:00,13.5,61.0,942.0,1.6,15.0,40.465278,-3.579722,631.0
3194U,MADRID  C. UNIVERSITARIA,2026-04-20 03:00:00+00:00,13.1,68.0,,0.3,241.0,40.451671,-3.724167,664.0
3195,MADRID RETIRO,2026-04-20 03:00:00+00:00,14.8,64.0,937.1,1.2,170.0,40.411806,-3.678095,667.0
9501X,VALMADRID,2026-04-20 04:00:00+00:00,11.6,81.0,,0.4,295.0,41.443134,-0.885947,535.0
4067,MADRIDEJOS,2026-04-20 04:00:00+00:00,12.4,61.0,934.9,1.4,233.0,39.492064,-3.528358,690.0
3129A,MADRID BARAJAS RS.,2026-04-20 04:00:00+00:00,12.5,61.0,942.0,3.3,340.0,40.465278,-3.579722,631.0
3194U,MADRID  C. UNIVERSITARIA,2026-04-20 04:00:00+00:00,11.3,79.0,,1.3,30.0,40.451671,-3.724167,664.0
3195,MADRID RETIRO,2026-04-20 04:00:00+00:00,13.9,68.0,937.0,0.4,100.0,40.411806,-3.678095,667.0
3129,MADRID/BARAJAS,2026-04-20 04:00:00+00:00,10.8,69.0,947.6,3.5,320.0,40.466559,-3.555593,609.0
9501X,VALMADRID,2026-04-20 05:00:00+00:00,12.0,80.0,,2.4,158.0,41.443134,-0.885947,535.0
4067,MADRIDEJOS,2026-04-20 05:00:00+00:00,10.7,65.0,934.7,0.6,272.0,39.492064,-3.528358,690.0
3129A,MADRID BARAJAS RS.,2026-04-20 05:00:00+00:00,12.9,58.0,942.1,2.0,352.0,40.465278,-3.579722,631.0
3194U,MADRID  C. UNIVERSITARIA,2026-04-20 05:00:00+00:00,10.9,79.0,,0.4,57.0,40.451671,-3.724167,664.0
3195,MADRID RETIRO,2026-04-20 05:00:00+00:00,13.6,70.0,937.1,0.7,34.0,40.411806,-3.678095,667.0
3129,MADRID/BARAJAS,2026-04-20 05:00:00+00:00,10.6,69.0,947.7,2.4,340.0,40.466559,-3.555593,609.0
9501X,VALMADRID,2026-04-20 06:00:00+00:00,11.9,80.0,,1.6,152.0,41.443134,-0.885947,535.0
4067,MADRIDEJOS,2026-04-20 06:00:00+00:00,10.3,69.0,935.0,0.6,357.0,39.492064,-3.528358,690.0
3129,MADRID/BARAJAS,2026-04-20 06:00:00+00:00,9.6,75.0,948.0,1.8,10.0,40.466559,-3.555593,609.0
3194U,MADRID  C. UNIVERSITARIA,2026-04-20 06:00:00+00:00,10.2,83.0,,0.0,0.0,40.451671,-3.724167,664.0
3195,MADRID RETIRO,2026-04-20 06:00:00+00:00,13.7,69.0,937.4,1.0,39.0,40.411806,-3.678095,667.0
3129A,MADRID BARAJAS RS.,2026-04-20 06:00:00+00:00,12.7,61.0,942.4,1.6,28.0,40.465278,-3.579722,631.0
9501X,VALMADRID,2026-04-20 07:00:00+00:00,17.6,61.0,,0.5,171.0,41.443134,-0.885947,535.0
4067,MADRIDEJOS,2026-04-20 07:00:00+00:00,13.9,63.0,935.1,0.1,24.0,39.492064,-3.528358,690.0
3129,MADRID/BARAJAS,2026-04-20 07:00:00+00:00,12.0,67.0,948.2,2.3,330.0,40.466559,-3.555593,609.0
3194U,MADRID  C. UNIVERSITARIA,2026-04-20 07:00:00+00:00,12.3,84.0,,0.5,332.0,40.451671,-3.724167,664.0
3195,MADRID RETIRO,2026-04-20 07:00:00+00:00,15.0,60.0,937.4,2.3,41.0,40.411806,-3.678095,667.0
3129A,MADRID BARAJAS RS.,2026-04-20 07:00:00+00:00,13.3,59.0,942.6,2.7,12.0,40.465278,-3.579722,631.0
9501X,VALMADRID,2026-04-20 08:00:00+00:00,20.3,54.0,,1.2,23.0,41.443134,-0.885947,535.0
4067,MADRIDEJOS,2026-04-20 08:00:00+00:00,17.0,52.0,934.9,1.5,122.0,39.492064,-3.528358,690.0
3129A,MADRID BARAJAS RS.,2026-04-20 08:00:00+00:00,16.2,53.0,942.3,1.0,354.0,40.465278,-3.579722,631.0
3194U,MADRID  C. UNIVERSITARIA,2026-04-20 08:00:00+00:00,19.2,58.0,,0.1,266.0,40.451671,-3.724167,664.0
3129,MADRID/BARAJAS,2026-04-20 08:00:00+00:00,15.0,59.0,947.8,1.4,330.0,40.466559,-3.555593,609.0
