latitud,operativa,localizacion,estacion,provincia,longitud,altitud
"42º41'07"" N",Si,Parque Antonio Cabezón,Miranda de Ebro2,BURGOS,"02º56'25"" W",462 m
42º56’39’’ N,Si,Ventosilla,C.T.L.R. - Ventosilla,LEÓN,05º39’43’’ W,1130 m
42º32’30” N,No,Avda Huertas del Sacramento,Ponferrada3,LEÓN,06º35’20” W,541 m
42º48’06’’ N,Si,La Robla,Tudela Veguin-Tudela Veguin,LEÓN,05º38’56’’ W,
41º57’41’’ N,Si,Villamuriel de Cerrato,Renault4,PALENCIA,04º29’40’’ W,734 m
41º36’41” N,Si,Olimpiadas 4,VALLADOLID SUR,VALLADOLID,04º46’20” W,675 m
42º46’53’’ N,Si,Lillo,C.T.Anllares - Lillo,LEÓN,06º36’14’’ W,700 m
42º40’15’’ N,No,Sancedo,C.T.Compostilla-Sancedo,LEÓN,06º39’13’’ W,640 m
42º50’57’’ N,Si,Compuerto,C.T.G. - Compuerto,PALENCIA,04º50’09’’ W,1160 m
41º41’00’’ N,Si,Fuente Berrocal,Michelin2,VALLADOLID,04º44’28’’ W,753 m
"42º20'05"" N",Si,Fuentes Blancas,Burgos4,BURGOS,"03º38'14"" W",914 m
"42º40'56"" N",Si,Carretera Miranda-Logroño,Miranda de Ebro1,BURGOS,"02º55'05"" W",461 m
42º41’15” N,No,Antiguo Recinto Ferial,Miranda de Ebro3,BURGOS,02º57’16” W,471 m
42º52’40’’ N,Si,Palacios del Sil,C.T.Anllares - Palacios del Sil,LEÓN,06º26’24’’ W,750 m
42º36’50’’ N,Si,Villaverde,C.T.Compostilla-Villaverde,LEÓN,06º29’02’’ W,590 m
42º48’06’’ N,SI,La Robla,C.T.L.R. - La Robla,LEÓN,05º38’56’’ W,m
43º02’30’’ N,Si,Casa del Parque Picos Europa,Lario,LEÓN,05º05’29’’ W,1149 m
"42º35'19"" N",No,Plaza de Toros,Leon2,LEÓN,"05º34'17"" W",828 m
"42º33'12"" N",No,Estación de autobuses,Ponferrada1,LEÓN,"06º36'01"" W",541 m
"42º47'29"" N",Si,Calle Río Ebro,Guardo,PALENCIA,"04º50'47"" W",1093 m
41º56’53” N,Si,Venta de Baños,Hontoria 2 - Venta de BaÃ±os,PALENCIA,04º27’57” W,732 m
"40º57'55"" N",No,La Marina,Salamanca2,SALAMANCA,"05º39'21"" W",797 m
"41º46'02"" N",Si,Avenida de Valladolid,Soria,SORIA,"02º28'50"" W",1089 m
"40º39'31"" N",No,Estación de autobuses,Avila,ÁVILA,"04º41'17"" W",1150 m
42º50’47’’ N,Si,Anllares,C.T.Anllares - Anllares,LEÓN,06º32’40’’ W,925 m
42º50’33’’ N,NO,Anllarinos,C.T.Anllares - Anllarinos,LEÓN,06º34’08’’ W,875 m
42º40’22’’ N,Si,Santa Marina,C.T.Compostilla-Santa Marina,LEÓN,06º30’55’’ W,725 m
42º34’31’ N,Si,Coto Escolar,Leon 4,LEÓN,05º33’59’’ W,813 m
41º56’53” N,Si,Venta de Baños,Hontoria 2 - Venta de Baños,PALENCIA,04º27’57” W,732 m
"42º49'41"" N",No,Casa de la Juventud,Velilla del Rio Carrion,PALENCIA,"04º50'35"" W",1124 m
40º34’10’’ N,Si,Helipuerto,El Maillo,SALAMANCA,06º13’26’’ W,1029 m
41º39’22’’ N,Si,Puente Regueral,Puente Regueral,VALLADOLID,04º44’02’’ W,691 m
41º36’15’’ N,Si,Motores,Renault2,VALLADOLID,04º43’44’’ W,705 m
42º32’42’’ N,Si,Toral de los Vados,Toral de los Vados,LEÓN,06º43’32’’ W,437 m
41º36’00’’ N,Si,Informática,Renault1,VALLADOLID,04º43’57’’ W,706 m
40º23’13” N,Si,San Martín de Valdeiglesias,San Martín de Valdeiglesias,MADRID,04º23’48” W,549 m
"42º32'34"" N",Si,Albergue de Peregrinos,Ponferrada4,LEÓN,"06º35'06"" W",530 m
"40º57'38"" N",Si,Aldehuela de los Guzmanes,Salamanca6,SALAMANCA,"05º38'22"" W",776 m
