time,station,latitude,longitude,pm10,pm2_5,nitrogen_dioxide,ozone,sulphur_dioxide,carbon_monoxide,european_aqi,temperature_2m,precipitation
2026-05-01 00:00:00,Burgos,42.3439,-3.6969,8.8,6.3,3.2,70.0,0.3,121.0,28,12.3,0.0
2026-05-01 01:00:00,Burgos,42.3439,-3.6969,8.1,6.4,2.9,68.0,0.3,123.0,27,12.0,0.0
2026-05-01 02:00:00,Burgos,42.3439,-3.6969,10.1,7.1,2.3,71.0,0.4,127.0,28,11.7,0.0
2026-05-01 03:00:00,Burgos,42.3439,-3.6969,10.8,8.3,2.4,67.0,0.1,128.0,27,11.2,0.0
2026-05-01 04:00:00,Burgos,42.3439,-3.6969,11.3,8.0,2.4,63.0,0.1,128.0,25,11.1,0.0
2026-05-01 05:00:00,Burgos,42.3439,-3.6969,11.7,7.5,2.5,59.0,0.1,128.0,24,10.7,0.0
2026-05-01 06:00:00,Burgos,42.3439,-3.6969,11.3,7.6,2.5,57.0,0.1,126.0,23,10.2,0.0
2026-05-01 07:00:00,Burgos,42.3439,-3.6969,11.2,7.7,3.7,52.0,0.2,124.0,21,9.6,0.0
2026-05-01 08:00:00,Burgos,42.3439,-3.6969,11.3,7.8,7.5,49.0,0.2,126.0,20,9.7,0.0
2026-05-01 09:00:00,Burgos,42.3439,-3.6969,11.4,7.8,7.4,52.0,0.3,123.0,21,11.2,0.0
2026-05-01 10:00:00,Burgos,42.3439,-3.6969,9.4,6.9,4.4,67.0,0.3,116.0,27,13.6,0.0
2026-05-01 11:00:00,Burgos,42.3439,-3.6969,9.5,7.1,2.5,67.0,0.3,113.0,27,16.7,0.0
2026-05-01 12:00:00,Burgos,42.3439,-3.6969,9.1,6.1,1.7,81.0,0.3,111.0,32,18.0,0.0
2026-05-01 13:00:00,Burgos,42.3439,-3.6969,8.4,4.7,0.9,88.0,0.3,110.0,35,19.8,0.0
2026-05-01 14:00:00,Burgos,42.3439,-3.6969,7.7,3.8,0.8,90.0,0.2,108.0,36,20.5,0.0
2026-05-01 15:00:00,Burgos,42.3439,-3.6969,7.2,3.8,0.8,92.0,0.2,109.0,37,21.0,0.0
2026-05-01 16:00:00,Burgos,42.3439,-3.6969,6.5,3.7,0.9,98.0,0.2,110.0,39,21.6,0.0
2026-05-01 17:00:00,Burgos,42.3439,-3.6969,6.5,3.0,1.0,96.0,0.2,110.0,38,21.6,0.0
2026-05-01 18:00:00,Burgos,42.3439,-3.6969,6.4,2.9,1.2,92.0,0.2,109.0,37,21.1,0.0
2026-05-01 19:00:00,Burgos,42.3439,-3.6969,6.6,3.9,1.7,90.0,0.3,111.0,36,20.9,0.0
