time,pm10,pm2_5,nitrogen_dioxide,ozone,sulphur_dioxide,carbon_monoxide,european_aqi,latitude,longitude
2026-05-01T00:00,10.2,6.2,7.1,57.0,0.7,123.0,23,41.6523,-4.7245
2026-05-01T01:00,9.7,5.8,6.6,52.0,0.7,121.0,21,41.6523,-4.7245
2026-05-01T02:00,9.3,5.9,7.2,48.0,0.7,121.0,19,41.6523,-4.7245
2026-05-01T03:00,9.5,6.1,8.2,46.0,0.7,125.0,18,41.6523,-4.7245
2026-05-01T04:00,10.4,6.9,8.2,46.0,0.8,124.0,18,41.6523,-4.7245
2026-05-01T05:00,11.2,7.5,7.3,43.0,0.7,124.0,17,41.6523,-4.7245
2026-05-01T06:00,11.9,7.0,8.0,38.0,0.8,125.0,15,41.6523,-4.7245
2026-05-01T07:00,12.1,8.0,10.6,28.0,0.9,123.0,12,41.6523,-4.7245
2026-05-01T08:00,12.1,8.5,14.3,23.0,1.1,130.0,12,41.6523,-4.7245
2026-05-01T09:00,9.9,8.2,11.2,25.0,1.0,129.0,13,41.6523,-4.7245
2026-05-01T10:00,13.1,8.4,8.6,48.0,1.0,125.0,19,41.6523,-4.7245
2026-05-01T11:00,12.3,8.3,6.8,49.0,1.1,127.0,20,41.6523,-4.7245
2026-05-01T12:00,11.6,9.2,5.8,63.0,0.9,125.0,25,41.6523,-4.7245
2026-05-01T13:00,12.0,8.7,3.8,81.0,0.7,120.0,32,41.6523,-4.7245
2026-05-01T14:00,9.7,4.7,2.4,99.0,0.4,115.0,40,41.6523,-4.7245
2026-05-01T15:00,8.2,4.3,1.7,98.0,0.3,112.0,39,41.6523,-4.7245
2026-05-01T16:00,7.3,4.0,1.5,95.0,0.3,112.0,38,41.6523,-4.7245
2026-05-01T17:00,6.9,3.9,1.5,95.0,0.2,112.0,38,41.6523,-4.7245
2026-05-01T18:00,6.7,3.9,2.0,94.0,0.3,112.0,38,41.6523,-4.7245
2026-05-01T19:00,6.5,3.8,2.6,91.0,0.4,114.0,36,41.6523,-4.7245
2026-05-01T20:00,6.6,3.9,5.0,90.0,0.5,115.0,36,41.6523,-4.7245
2026-05-01T21:00,7.1,4.3,9.5,71.0,0.6,120.0,28,41.6523,-4.7245
2026-05-01T22:00,7.0,4.7,11.4,65.0,0.8,120.0,26,41.6523,-4.7245
2026-05-01T23:00,7.0,4.6,11.5,61.0,0.9,123.0,24,41.6523,-4.7245
2026-05-02T00:00,7.3,4.6,10.0,60.0,0.8,121.0,24,41.6523,-4.7245
2026-05-02T01:00,8.4,4.6,10.2,50.0,0.8,122.0,20,41.6523,-4.7245
2026-05-02T02:00,8.7,4.9,12.0,50.0,0.9,125.0,20,41.6523,-4.7245
2026-05-02T03:00,9.0,5.0,12.7,43.0,1.0,121.0,17,41.6523,-4.7245
2026-05-02T04:00,9.0,5.5,12.3,43.0,0.7,118.0,17,41.6523,-4.7245
2026-05-02T05:00,9.1,5.7,11.2,40.0,0.8,118.0,16,41.6523,-4.7245
2026-05-02T06:00,8.2,5.9,9.1,38.0,0.5,119.0,15,41.6523,-4.7245
2026-05-02T07:00,8.3,6.4,9.3,39.0,0.7,115.0,16,41.6523,-4.7245
2026-05-02T08:00,8.7,7.4,8.6,41.0,1.1,126.0,16,41.6523,-4.7245
2026-05-02T09:00,9.7,8.0,8.3,45.0,1.4,124.0,18,41.6523,-4.7245
